encoder,decoder,study,prompt,TC IoU,AR IoU,BG IoU,Mean IoU,Mean FG IoU
infused_mlp1,robust_decoder_hybrid_s1,mask_format,"union {0,1}",0.0,0.3225,0.8726,0.3984,0.1613
infused_mlp1,robust_decoder_hybrid_s1,mask_format,"per-object {0,1}",0.0,0.2797,0.8448,0.3748,0.1398
infused_mlp1,robust_decoder_hybrid_s1,mask_format,union logits +-2,0.0,0.8523,0.9842,0.6122,0.4261
infused_mlp1,robust_decoder_hybrid_s1,mask_format,per-object logits +-2,0.0,0.5105,0.9379,0.4828,0.2552
infused_mlp1,robust_decoder_hybrid_s1,mask_format,union logits +-5,0.003,0.9095,0.9888,0.6338,0.4563
infused_mlp1,robust_decoder_hybrid_s1,mask_format,per-object logits +-5,0.0349,0.9077,0.9885,0.6437,0.4713
infused_mlp1,robust_decoder_hybrid_s1,mask_format,union logits +-10,0.0002,0.9239,0.9896,0.6379,0.462
infused_mlp1,robust_decoder_hybrid_s1,mask_format,per-object logits +-10,0.0168,0.9191,0.9892,0.6417,0.4679
infused_mlp1,robust_decoder_hybrid_s1,mask_format,union logits +-20,0.0515,0.9197,0.9896,0.6536,0.4856
infused_mlp1,robust_decoder_hybrid_s1,mask_format,per-object logits +-20,0.0478,0.9174,0.9892,0.6515,0.4826
infused_mlp1,robust_decoder_hybrid_s1,mask_format,box,0.7004,0.3949,0.9609,0.6854,0.5476
infused_mlp1,robust_decoder_hybrid_s1,mask_format,box + per-object logits +-10,0.8638,0.8952,0.9929,0.9173,0.8795
infused_mlp1,robust_decoder_hybrid_s1,mask_format,box + union logits +-10,0.861,0.8723,0.9915,0.9083,0.8667
infused_mlp1,robust_decoder_hybrid_s1,degradation,box enlarge -0.3,0.1879,0.0904,0.9422,0.4068,0.1392
infused_mlp1,robust_decoder_hybrid_s1,degradation,box enlarge -0.2,0.4191,0.1821,0.9482,0.5165,0.3006
infused_mlp1,robust_decoder_hybrid_s1,degradation,box enlarge -0.1,0.6162,0.2888,0.9551,0.62,0.4525
infused_mlp1,robust_decoder_hybrid_s1,degradation,box enlarge +0.0,0.7004,0.3949,0.9609,0.6854,0.5476
infused_mlp1,robust_decoder_hybrid_s1,degradation,box enlarge +0.1,0.6729,0.4408,0.9619,0.6919,0.5569
infused_mlp1,robust_decoder_hybrid_s1,degradation,box enlarge +0.2,0.6122,0.4414,0.9593,0.671,0.5268
infused_mlp1,robust_decoder_hybrid_s1,degradation,box enlarge +0.3,0.5459,0.4255,0.9551,0.6422,0.4857
infused_mlp1,robust_decoder_hybrid_s1,degradation,box enlarge +0.5,0.439,0.3701,0.9417,0.5836,0.4045
infused_mlp1,robust_decoder_hybrid_s1,degradation,mask morph -9px,0.0,0.7522,0.9798,0.5773,0.3761
infused_mlp1,robust_decoder_hybrid_s1,degradation,mask morph -5px,0.0,0.8578,0.9858,0.6146,0.4289
infused_mlp1,robust_decoder_hybrid_s1,degradation,mask morph -3px,0.0001,0.9052,0.9885,0.6313,0.4526
infused_mlp1,robust_decoder_hybrid_s1,degradation,mask morph +0px,0.0002,0.9239,0.9896,0.6379,0.462
infused_mlp1,robust_decoder_hybrid_s1,degradation,mask morph +3px,0.0002,0.9218,0.9893,0.6371,0.461
infused_mlp1,robust_decoder_hybrid_s1,degradation,mask morph +5px,0.0016,0.8959,0.9874,0.6283,0.4487
infused_mlp1,robust_decoder_hybrid_s1,degradation,mask morph +9px,0.0067,0.8206,0.9813,0.6029,0.4136
infused_mlp1,robust_decoder_hybrid_s1,degradation,box + 1 false boxes,0.6197,0.3856,0.9585,0.6546,0.5026
infused_mlp1,robust_decoder_hybrid_s1,degradation,box + 3 false boxes,0.5388,0.363,0.9532,0.6183,0.4509
infused_mlp1,robust_decoder_hybrid_s1,degradation,box drop 25% objects,0.5186,0.2981,0.9549,0.5905,0.4083
infused_mlp1,robust_decoder_hybrid_s1,degradation,box drop 50% objects,0.3521,0.2066,0.9495,0.5027,0.2793
